num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,latitud,longitud,geometry,hora_minutos,cluster,street_name
2024S009244,14/03/2024,1900-01-01 19:50:00,AVDA. FRANCISCO JAVIER SAENZ DE OIZA / CALL. ALBERTO DE PALACIO,1,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,14.0,Sin asistencia sanitaria,445557.0,4482219.0,N,,40.48888366305987,-3.6424095032072126,POINT (-3.6424095032072126 40.48888366305987),1190,29,avenida de francisco javier sáenz de oíza
2024S009244,14/03/2024,1900-01-01 19:50:00,AVDA. FRANCISCO JAVIER SAENZ DE OIZA / CALL. ALBERTO DE PALACIO,1,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 18 a 20 años,Hombre,14.0,Sin asistencia sanitaria,445557.0,4482219.0,N,,40.48888366305987,-3.6424095032072126,POINT (-3.6424095032072126 40.48888366305987),1190,29,avenida de francisco javier sáenz de oíza
2024S009244,14/03/2024,1900-01-01 19:50:00,AVDA. FRANCISCO JAVIER SAENZ DE OIZA / CALL. ALBERTO DE PALACIO,1,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 18 a 20 años,Hombre,14.0,Sin asistencia sanitaria,445557.0,4482219.0,N,,40.48888366305987,-3.6424095032072126,POINT (-3.6424095032072126 40.48888366305987),1190,29,avenida de francisco javier sáenz de oíza
2024S009244,14/03/2024,1900-01-01 19:50:00,AVDA. FRANCISCO JAVIER SAENZ DE OIZA / CALL. ALBERTO DE PALACIO,1,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 18 a 20 años,Mujer,1.0,Atención en urgencias sin posterior ingreso,445557.0,4482219.0,N,,40.48888366305987,-3.6424095032072126,POINT (-3.6424095032072126 40.48888366305987),1190,29,avenida de francisco javier sáenz de oíza
2024S009247,14/03/2024,1900-01-01 20:45:00,"CALL. MENENDEZ PIDAL, 19",19,5,CHAMARTÍN,Choque contra obstáculo fijo,,Turismo,Conductor,De 40 a 44 años,Mujer,14.0,Sin asistencia sanitaria,442213.0,4479239.0,S,,40.46181251599009,-3.6815935074123503,POINT (-3.6815935074123503 40.46181251599009),1245,-1,calle de menéndez pidal
2024S009247,14/03/2024,1900-01-01 20:45:00,"CALL. MENENDEZ PIDAL, 19",19,5,CHAMARTÍN,Choque contra obstáculo fijo,,Turismo,Conductor,De 50 a 54 años,Hombre,14.0,Sin asistencia sanitaria,442213.0,4479239.0,N,,40.46181251599009,-3.6815935074123503,POINT (-3.6815935074123503 40.46181251599009),1245,-1,calle de menéndez pidal
2024S009247,14/03/2024,1900-01-01 20:45:00,"CALL. MENENDEZ PIDAL, 19",19,5,CHAMARTÍN,Choque contra obstáculo fijo,,Turismo,Pasajero,De 50 a 54 años,Mujer,14.0,Sin asistencia sanitaria,442213.0,4479239.0,N,,40.46181251599009,-3.6815935074123503,POINT (-3.6815935074123503 40.46181251599009),1245,-1,calle de menéndez pidal
2024S009250,14/03/2024,1900-01-01 21:00:00,"CALL. ROSARIO, 9",9,1,CENTRO,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,De 50 a 54 años,Mujer,7.0,Asistencia sanitaria sólo en el lugar del accidente,439398.0,4473460.0,N,,40.40955231035802,-3.71424273245931,POINT (-3.71424273245931 40.40955231035802),1260,1017,san francisco el grande
2024S009250,14/03/2024,1900-01-01 21:00:00,"CALL. ROSARIO, 9",9,1,CENTRO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,14.0,Sin asistencia sanitaria,439398.0,4473460.0,N,,40.40955231035802,-3.71424273245931,POINT (-3.71424273245931 40.40955231035802),1260,1017,san francisco el grande
2024S009251,14/03/2024,1900-01-01 21:15:00,CALL. CASALARREINA / AVDA. DAROCA,33,19,VICÁLVARO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14.0,Sin asistencia sanitaria,447744.0,4473178.0,N,,40.40757763881131,-3.6158611511571754,POINT (-3.6158611511571754 40.40757763881131),1275,204,calle de casalarreina
