num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,latitud,longitud,geometry,hora_minutos,cluster,street_name
2024S018169,27/05/2024,1900-01-01 22:05:00,CALL. JUAN DUQUE / CALL. MANZANARES,1,2,ARGANZUELA,Colisión fronto-lateral,,Turismo,Conductor,De 30 a 34 años,Hombre,,,438957.0,4473829.0,N,,40.41284420608492,-3.719475282436893,POINT (-3.719475282436893 40.41284420608492),1325,869,juan duque - segovia
2024S018170,27/05/2024,1900-01-01 21:30:00,"PASEO. RECOLETOS, 39",39,1,CENTRO,Colisión múltiple,Despejado,Motocicleta > 125cc,Conductor,De 25 a 29 años,Hombre,2.0,Ingreso inferior o igual a 24 horas,441404.0,4475073.0,N,,40.424226636384084,-3.6907506750940775,POINT (-3.6907506750940775 40.424226636384084),1290,-1,biblioteca nacional
2024S018170,27/05/2024,1900-01-01 21:30:00,"PASEO. RECOLETOS, 39",39,1,CENTRO,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Mujer,14.0,Sin asistencia sanitaria,441404.0,4475073.0,N,,40.424226636384084,-3.6907506750940775,POINT (-3.6907506750940775 40.424226636384084),1290,-1,biblioteca nacional
2024S018170,27/05/2024,1900-01-01 21:30:00,"PASEO. RECOLETOS, 39",39,1,CENTRO,Colisión múltiple,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,14.0,Sin asistencia sanitaria,441404.0,4475073.0,N,,40.424226636384084,-3.6907506750940775,POINT (-3.6907506750940775 40.424226636384084),1290,-1,biblioteca nacional
2024S018170,27/05/2024,1900-01-01 21:30:00,"PASEO. RECOLETOS, 39",39,1,CENTRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 40 a 44 años,Hombre,14.0,Sin asistencia sanitaria,441404.0,4475073.0,N,,40.424226636384084,-3.6907506750940775,POINT (-3.6907506750940775 40.424226636384084),1290,-1,biblioteca nacional
2024S018171,27/05/2024,1900-01-01 22:55:00,CALL. FUENTE DEL BERRO / CALL. GOYA,29,4,SALAMANCA,Colisión lateral,,Furgoneta,Conductor,De 45 a 49 años,Hombre,,,443087.0,4475080.0,N,,40.42440652373827,-3.670912802893308,POINT (-3.670912802893308 40.42440652373827),1375,1105,calle fuente del berro
2024S018171,27/05/2024,1900-01-01 22:55:00,CALL. FUENTE DEL BERRO / CALL. GOYA,29,4,SALAMANCA,Colisión lateral,,Turismo,Conductor,Desconocido,Desconocido,,,443087.0,4475080.0,N,,40.42440652373827,-3.670912802893308,POINT (-3.670912802893308 40.42440652373827),1375,1105,calle fuente del berro
2024S018172,27/05/2024,1900-01-01 23:09:00,"CALL. HUERTAS, 55",55,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,Asistencia sanitaria sólo en el lugar del accidente,440898.0,4473852.0,N,,40.413191489942946,-3.696601707981835,POINT (-3.696601707981835 40.413191489942946),1389,-1,calle de santa maría
2024S018173,28/05/2024,1900-01-01 01:10:00,"CALL. SERRANO GALVACHE, 1",1,15,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,14.0,Sin asistencia sanitaria,443376.0,4480293.0,S,,40.471387503040425,-3.667970960909068,POINT (-3.667970960909068 40.471387503040425),70,279,arturo soria-julio dánvila
2024S018173,28/05/2024,1900-01-01 01:10:00,"CALL. SERRANO GALVACHE, 1",1,15,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,443376.0,4480293.0,N,,40.471387503040425,-3.667970960909068,POINT (-3.667970960909068 40.471387503040425),70,279,arturo soria-julio dánvila
